trainer,trainingName,topics,date,time,day,mode,department,participants,month
Saif Sir,Morning Market Session,Morning Market Updates,"3,7,10,14,17,21,24,28,",9:45 to 10:15 am,Monday & Thursday,Online,Stoxkart team or BD-Retail,,September 2026
Saif Sir,Market Navigator,Weekely Market Updates,"1,4,5,7,11,15,18,19,21,25,28,",2 pm to 3 pm,"Monday, Friday & Saturday",Online,BD-Retail,,September 2026
Saif Sir,Induction,,"2,3,8,10,17,22,24,",3 pm to 5 pm or 3 pm to 4 pm,Monday & Tuesday,Online,,,September 2026
Saif Sir,Market Byte,Risk Management in Trading & MTF,"9,16,23,30",4 pm to 5 pm,Wednesday,Online,BD-Retail,,September 2026
Saif Sir,Abhinandan Training Program,1 month old Salespeople.,"18,19",2 pm to 6 pm or 10 am to 3 pm,Friday & Saturday,Online,1 month old Salespeople.,,September 2026
Saif Sir,Business Session for BDRs,Business Session for BDRs,"7,14,21,",4 pm to 5 pm,Monday,Online,,,September 2026
Saif Sir,Monthly Session of Telegram,,29,4 pm to 5 pm,Tuesday,Online,East Region,,September 2026
Vipin Sir,Induction,,"8,11,15,18,22,25,29",11:00 am - 02:00 pm,Tuesday or Friday,Online,,,September 2026
Vipin Sir,Associate Training,SMC Pulse,24,04:00 pm - 05:30 pm,Thursday,Online,Associates,,September 2026
Vipin Sir,Associate Training :NRI Services,NRI Services,10,04:00 pm - 05:30 pm,Thursday,Online,Associates,,September 2026
Vipin Sir,Marketing Team : SMC Algo AI,SMC Algo AI,14,04:00 pm - 06:00 pm,Monday,Online,Marketing,,September 2026
Vipin Sir,Marketing Team,NRI Services,7,04:00 pm - 05:30 pm,Monday,Online,BD Online,,September 2026
Vipin Sir,Associate Training: How to Open Online Account,How to Open Online Account,17,04:00 pm - 05:30 pm,Thursday,Online,Associates,,September 2026
Vipin Sir,Rotary Industrial Vist,Equity Derivative,2,10:00 am - 02:00 pm,Tuesday,Offline,,,September 2026
Vipin Sir,Associate Training: Globex,,3,04:00 pm - 05:30 pm,Thrusday,Online,Associates,,September 2026
Vipin Sir,Incentive Structure: West Region,,4,04:00 pm - 05:00 pm,Friday,Online,West Region,,September 2026
Vipin Sir,Rotary Industrial Vist,Customer Care,5,11:00 am - 03:00 pm,Saturday,Offline,,,September 2026
Vipin Sir,Incentive Structure: Delhi NCR Region,,8,04:00 pm - 05:00 pm,Tuesday,Online,Delhi NCR Region,,September 2026
Vipin Sir,Incentive Structure: UP Region,,9,04:00 pm - 05:00 pm,Wednesday,Online,UP Region,,September 2026
Vipin Sir,Incentive Structure: Rest North Region,,11,04:00 pm - 05:00 pm,Friday,Online,Rest North Region,,September 2026
Vipin Sir,SMC Pulse,,16,04:00 pm - 05:30 pm,Wednesday,Online,"MP, Rajasthan,Rohtak",,September 2026
Arsh Sir,Morning Market Session,Morning Market Updates,"1,2,3,4,7,8,9,10,11,15,16,17,18,21,22,23,24,25,28,29,30",08:45 to 09:15 am,Monday to Friday,Online,Stoxkart team or BD-Retail,,September 2026
Arsh Sir,Associate Training,,"8,15,22,29",04:00 to 05:00 pm,Tuesday,Online,Associates,,September 2026
Arsh Sir,Induction,Induction,"9,16,17,23,24",03:00 to 04:00 pm,Wednesday or Thursday,Online,,,September 2026
Arsh Sir,Morning Market Session,Morning Market Updates,"1,2,4,8,11,15,18,22,25,29",09:45 to 10:15 am,Twice a week,Online,Dealers,,September 2026
Arsh Sir,Refresher Training,Refresher Training,"3,4,18",04:00 to 05:00 pm,Thursday,Online,Apr Batch1,,September 2026
Arsh Sir,Autotrender,,21,02:00 to 03:00 pm,Monday,Online,South Region,,September 2026
Arsh Sir,NCD & Bond Session,,2,04:00 to 05:00 pm,Wednesday,Online,Pune Branches,,September 2026
Arsh Sir,Objection handling with confidence,,"5,7,25",11:00 to 12:00 pm,Saturday,Online,"Grg, Fort, Masjid, Kolhapur, Borivali",,September 2026
Arsh Sir,Active Listening,,"10,11",04:00 to 05:00 pm,Thursday and Friday,Online,"RMS, DP, AO, BO",,September 2026
Rithtika,SMC Pulse Training,Latest Features,Date to be finalized,04:00 pm - 05:00 pm,Date to be finalized,Online/Offline,BD Online & Retail,,September 2026
Rithtika,Clusterwise POS Training,Insurance Product Training,1st Saturday of every month,11:30 am - 12:30 pm,1st Saturday,Online/Offline,POS,,September 2026
Rithtika,Insurance Training & Easyinvest,Insurance products & Software Demonstration,Date to be finalized,04:00 pm - 05:00 pm,Tentative,Online/Offline,BD Online & Retail,,September 2026
Rithtika,Cluster-wise Insurance Training,Insurance Insights & Products,3rd Saturday,04:00 pm - 05:00 pm,3rd Saturday,Online/Offline,BD Online & Retail,,September 2026
Rithtika,BDR Training,"BDR schemes & A/C opening, MOU & Dashboard",1st or 3rd Saturday of every month,12:00 pm - 01:30 pm,1st & 3rd Saturday,Online,BDR,,September 2026
Rithtika,Czentrix Training (Cluster-wise),"Czentrix Cloud IVR, Q&A, Implementation guidelines",Date to be finalized,04:00 pm - 05:00 pm,Tentative,Online/Offline,BD - Retail,,September 2026
Rithtika,Talisma Training (Cluster-wise),Talisma DSR & LMS,Date to be finalized,04:30 pm - 05:30 pm,Tentative,Online/Offline,BD -Retail,,September 2026
Rithtika,New Joiners Induction,"Company Overview, HR Guidelines, KRA, Incentives, Products & Back Office","3rd,10th August",10:00 - 06:30 PM,"3rd,10th August",Online/Offline,BD Retail,,September 2026
Rithtika,Associates Induction,"A/C opening, Business Development, Back Office",3rd Saturday,10:30 AM- 02:30 PM,3rd Saturday,Online/Offline,Associates,,September 2026
Rithtika,Small Case Training,"Features & Benefits, Subscriptions",Date to be finalized,04:00 PM - 05:00 PM,Tentative,Online/Offline,Cluterwise,,September 2026
Rithtika,NISM VIII Training,Modules,Every Thursday & Saturday,04:00 PM - 05:00 PM,Every Thursday & Saturday,Online/Offline,Selected employees with no NISM,,September 2026
Rithtika,2nd round training for quarterly new joiners,New Joiners (Quarterly),Tentative,12:00 pm - 02:30 pm,Saturdays,Online/Offline,New Joiners,,September 2026
